"Id","IsDeleted","CreatedDate","Active_Color__c","Dat_Initial_Assessment__c","Date_assigned_to_staff__c","Date_Turned_Purple__c","Date_Resume_Completed__c","Confirmed_Hired_Date__c","Date_turned_grey__c","Date_turned_green__c","Date_Turned_Blue__c","Attended_Day_1__c","Attended_Day_2__c","Compass_Participant__c","Career_Counseling__c","Date_Attended_HHUSA_Workshop__c","Career_Day_Participant__c","Created_LinkedIn_account__c","Service_Rank__c","HHUSA_Workshop_Participant__c","New_Date_Turned_green__c","New_Date_Turned_Blue__c","Days_To_Get_Hired","Assessment_Date","Assigned_Date","Assessment_Time_inDAYS","Resume_Date","Resume_Time_inDAYS"
0033800002TLZSYAA5,0,24AUG15:23:44:00,Blue,09SEP15:00:00:00,31AUG15:00:00:00,,09NOV15:00:00:00,12SEP15:00:00:00,,09NOV15:00:00:00,12SEP15:00:00:00,0,0,0,,,0,0,E-5,0,20401,20343,-58,20340,20331,9,20401,61
0033800002TLZUKAA5,0,25AUG15:00:00:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09NOV15:00:00:00,10SEP15:00:00:00,,09NOV15:00:00:00,10SEP15:00:00:00,0,0,0,,,0,1,E-7,0,20401,20341,-60,20331,20331,0,20401,70
0033800002TLZvRAAX,0,25AUG15:03:13:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09MAR15:00:00:00,14OCT15:00:00:00,,09MAR15:00:00:00,14OCT15:00:00:00,0,0,0,,,0,1,O-3,0,20156,20375,219,20331,20331,0,20156,-175
0033800002TLdOIAA1,0,25AUG15:14:24:00,Blue,25AUG15:00:00:00,25AUG15:00:00:00,27AUG15:00:00:00,25AUG15:00:00:00,14DEC15:00:00:00,,20NOV15:00:00:00,14DEC15:00:00:00,1,1,0,,25AUG15:00:00:00,0,1,E-7,1,20412,20436,24,20325,20325,0,20325,0
0033800002TLdwcAAD,0,25AUG15:15:13:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,16OCT15:00:00:00,,09JAN15:00:00:00,16OCT15:00:00:00,1,0,0,,21AUG15:00:00:00,0,1,O-3,1,20097,20377,280,20097,20331,-234,20097,0
0033800002TLeLXAA1,0,25AUG15:16:02:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,21SEP15:00:00:00,,09JAN15:00:00:00,21SEP15:00:00:00,0,0,0,,,0,1,O-2,0,20097,20352,255,20331,20331,0,20097,-234
0033800002TLebQAAT,0,25AUG15:16:39:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,31AUG15:00:00:00,10JAN15:00:00:00,,31AUG15:00:00:00,10JAN15:00:00:00,0,0,0,,,0,0,E-7,0,20331,20098,-233,20331,20331,0,20331,0
0033800002TLenqAAD,0,25AUG15:17:00:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09OCT15:00:00:00,18SEP15:00:00:00,,09OCT15:00:00:00,24SEP15:00:00:00,0,0,0,,,0,0,E-4,0,20370,20355,-15,20331,20331,0,20370,39
0033800002TLf5pAAD,0,25AUG15:17:42:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09AUG15:00:00:00,16OCT15:00:00:00,,09AUG15:00:00:00,16OCT15:00:00:00,0,0,0,,,0,0,E-4,0,20309,20377,68,20331,20331,0,20309,-22
0033800002TLfWdAAL,0,25AUG15:18:33:00,Blue,25AUG15:00:00:00,25AUG15:00:00:00,25AUG15:00:00:00,25AUG15:00:00:00,28AUG15:00:00:00,,,28AUG15:00:00:00,1,1,0,,25AUG15:00:00:00,0,1,E-3,1,,20328,,20325,20325,0,20325,0
0033800002TLfwtAAD,0,25AUG15:19:29:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,,09OCT15:00:00:00,,,09OCT15:00:00:00,0,0,0,,,0,0,E-4,0,,20370,,20331,20331,0,,
0033800002TLiD7AAL,0,26AUG15:03:46:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09FEB15:00:00:00,25SEP15:00:00:00,,09FEB15:00:00:00,25SEP15:00:00:00,0,0,0,,,0,1,E-4,0,20128,20356,228,20331,20331,0,20128,-203
0033800002TLmD7AAL,0,26AUG15:14:05:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,15SEP15:00:00:00,10AUG15:00:00:00,,15SEP15:00:00:00,10AUG15:00:00:00,0,0,0,,,0,1,E-5,0,20346,20310,-36,20331,20331,0,20346,15
0033800002TLn3dAAD,0,26AUG15:15:26:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,14SEP15:00:00:00,14DEC15:00:00:00,,14SEP15:00:00:00,14DEC15:00:00:00,0,0,0,,,0,0,E-4,0,20345,20436,91,20331,20331,0,20345,14
0033800002TLoomAAD,0,26AUG15:19:19:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,,09FEB15:00:00:00,15OCT15:00:00:00,,09FEB15:00:00:00,15OCT15:00:00:00,0,0,0,,,0,1,E-9,0,20128,20376,248,20097,20331,-234,20128,31
0033800002TLpcqAAD,0,26AUG15:21:09:00,Blue,09SEP15:00:00:00,31AUG15:00:00:00,,09OCT15:00:00:00,01JUN16:00:00:00,,09OCT15:00:00:00,01JUN16:00:00:00,0,0,0,,,0,1,E-4,0,20370,20606,236,20340,20331,9,20370,30
0033800002TLpxqAAD,0,26AUG15:22:08:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,27OCT15:00:00:00,,09JAN15:00:00:00,27OCT15:00:00:00,0,0,0,,,0,1,E-5,0,20097,20388,291,20097,20331,-234,20097,0
0033800002TLqDWAA1,0,26AUG15:23:19:00,Blue,09APR15:00:00:00,31AUG15:00:00:00,,09NOV15:00:00:00,11JUN15:00:00:00,,09NOV15:00:00:00,11JUN15:00:00:00,0,0,0,,,0,0,E-5,0,20401,20250,-151,20187,20331,-144,20401,214
0033800002TLqHxAAL,0,26AUG15:23:34:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09FEB15:00:00:00,16NOV15:00:00:00,,09FEB15:00:00:00,20NOV15:00:00:00,0,0,0,,,0,1,E-6,0,20128,20412,284,20331,20331,0,20128,-203
0033800002TLqnMAAT,0,27AUG15:02:08:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09SEP15:00:00:00,12AUG15:00:00:00,,09SEP15:00:00:00,12AUG15:00:00:00,0,0,0,,,0,0,O-4,0,20340,20312,-28,20331,20331,0,20340,9
0033800002TLu9IAAT,0,27AUG15:13:27:00,Blue,09SEP15:00:00:00,31AUG15:00:00:00,,15SEP15:00:00:00,14DEC15:00:00:00,,15SEP15:00:00:00,14DEC15:00:00:00,0,0,0,,,0,1,E-4,0,20346,20436,90,20340,20331,9,20346,6
0033800002TLvkJAAT,0,27AUG15:16:28:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,,09APR15:00:00:00,10DEC15:00:00:00,,09APR15:00:00:00,10DEC15:00:00:00,0,0,0,,,0,1,E-1,0,20187,20432,245,20097,20331,-234,20187,90
0033800002TLw0bAAD,0,27AUG15:17:12:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09MAR15:00:00:00,10AUG15:00:00:00,,09MAR15:00:00:00,10AUG15:00:00:00,0,0,0,,,0,0,E-7,0,20156,20310,154,20331,20331,0,20156,-175
0033800002TLwgyAAD,0,27AUG15:18:27:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,22OCT15:00:00:00,18DEC15:00:00:00,,30OCT15:00:00:00,18DEC15:00:00:00,0,0,0,,,0,0,E-5,0,20391,20440,49,20331,20331,0,20383,52
0033800002TLxHSAA1,0,27AUG15:19:46:00,Blue,09FEB15:00:00:00,31AUG15:00:00:00,,09FEB15:00:00:00,10SEP15:00:00:00,,09FEB15:00:00:00,10SEP15:00:00:00,0,0,0,,,0,1,E-6,0,20128,20341,213,20128,20331,-203,20128,0
0033800002TLyMQAA1,0,27AUG15:22:13:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,13OCT15:00:00:00,,09JAN15:00:00:00,15OCT15:00:00:00,0,0,0,,,0,1,E-9,0,20097,20376,279,20331,20331,0,20097,-234
0033800002TLyVfAAL,0,27AUG15:22:48:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,15SEP15:00:00:00,10JAN15:00:00:00,,15SEP15:00:00:00,10SEP15:00:00:00,0,0,0,,,0,1,O-2,0,20346,20341,-5,20331,20331,0,20346,15
0033800002TLzudAAD,0,28AUG15:04:13:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,20NOV15:00:00:00,,09FEB15:00:00:00,20NOV15:00:00:00,0,0,0,,,0,1,E-4,0,20128,20412,284,20331,20331,0,20097,-234
0033800002TM43PAAT,0,28AUG15:15:10:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,31AUG15:00:00:00,11FEB15:00:00:00,,31AUG15:00:00:00,11FEB15:00:00:00,0,0,0,,,0,0,E-4,0,20331,20130,-201,20331,20331,0,20331,0
0033800002TM7dAAAT,0,28AUG15:16:21:00,Blue,09MAR15:00:00:00,31AUG15:00:00:00,,09MAR15:00:00:00,23NOV15:00:00:00,,09MAR15:00:00:00,23NOV15:00:00:00,0,0,0,,,0,1,,0,20156,20415,259,20156,20331,-175,20156,0
0033800002TM9k1AAD,0,28AUG15:20:17:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,09OCT15:00:00:00,09OCT15:00:00:00,12NOV15:00:00:00,,09OCT15:00:00:00,14DEC15:00:00:00,0,0,0,,,0,0,O-3,0,20370,20436,66,20097,20331,-234,20370,273
0033800002TMAD3AAP,0,28AUG15:21:28:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,12JUL15:00:00:00,,09JAN15:00:00:00,12JUL15:00:00:00,0,0,0,,,0,0,O-3,0,20097,20281,184,20331,20331,0,20097,-234
0033800002TMAKYAA5,0,28AUG15:21:58:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,12OCT15:00:00:00,,09JAN15:00:00:00,12OCT15:00:00:00,0,0,0,,,0,1,O-6,0,20097,20373,276,20331,20331,0,20097,-234
0033800002TMAh1AAH,0,29AUG15:01:22:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09FEB15:00:00:00,22OCT15:00:00:00,,09FEB15:00:00:00,22OCT15:00:00:00,0,0,0,,,0,1,E-6,0,20128,20383,255,20331,20331,0,20128,-203
0033800002TMC5mAAH,0,30AUG15:02:17:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,20OCT15:00:00:00,,09JAN15:00:00:00,20OCT15:00:00:00,0,0,0,,,0,1,O-2,0,20097,20381,284,20097,20331,-234,20097,0
0033800002TMCC2AAP,0,30AUG15:03:45:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,,09MAR15:00:00:00,10JUL15:00:00:00,,09MAR15:00:00:00,10JUL15:00:00:00,0,0,0,,,0,1,E-4,0,20156,20279,123,20097,20331,-234,20156,59
0033800002TMClmAAH,0,30AUG15:18:14:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,,10FEB15:00:00:00,30NOV15:00:00:00,,10FEB15:00:00:00,01MAY16:00:00:00,0,0,0,,,0,0,E-5,0,20129,20575,446,20097,20331,-234,20129,32
0033800002TMFeoAAH,0,31AUG15:14:14:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,31AUG15:00:00:00,12MAY15:00:00:00,,31AUG15:00:00:00,12MAY15:00:00:00,0,0,0,,,0,0,E-6,0,20331,20220,-111,20331,20331,0,20331,0
0033800002TMFesAAH,0,31AUG15:14:14:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09JAN15:00:00:00,22OCT15:00:00:00,,09JAN15:00:00:00,22OCT15:00:00:00,0,0,0,,,0,0,E-5,0,20097,20383,286,20331,20331,0,20097,-234
0033800002TMFetAAH,0,31AUG15:14:14:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,31AUG15:00:00:00,10FEB15:00:00:00,,31AUG15:00:00:00,10FEB15:00:00:00,0,0,0,,,0,1,,0,20331,20129,-202,20331,20331,0,20331,0
0033800002TMFexAAH,0,31AUG15:14:14:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,31AUG15:00:00:00,31AUG15:00:00:00,01APR16:00:00:00,,,01JUN16:00:00:00,0,0,0,,,0,1,E-4,0,,20606,,20331,20331,0,20331,0
0033800002TMFeyAAH,0,31AUG15:14:14:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,31AUG15:00:00:00,31AUG15:00:00:00,21DEC15:00:00:00,,,21DEC15:00:00:00,0,0,0,,,0,1,E-6,0,,20443,,20331,20331,0,20331,0
0033800002TMHAOAA5,0,31AUG15:17:02:00,Blue,09SEP15:00:00:00,09JUL15:00:00:00,,16SEP15:00:00:00,18NOV15:00:00:00,15SEP15:00:00:00,16SEP15:00:00:00,18NOV15:00:00:00,0,0,0,,,0,1,E-8,0,20347,20410,63,20340,20278,62,20347,7
0033800002TMLjlAAH,0,31AUG15:20:10:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09NOV15:00:00:00,27OCT15:00:00:00,,09NOV15:00:00:00,27OCT15:00:00:00,0,0,0,,,0,1,E-5,0,20401,20388,-13,20309,20278,31,20401,92
0033800002TMNGjAAP,0,09JAN15:00:49:00,Blue,09OCT15:00:00:00,09JUL15:00:00:00,,17SEP15:00:00:00,14DEC15:00:00:00,,17SEP15:00:00:00,14DEC15:00:00:00,0,0,0,,,0,0,O-4,0,20348,20436,88,20370,20278,92,20348,-22
0033800002TMQsdAAH,0,09JAN15:15:39:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09SEP15:00:00:00,11OCT15:00:00:00,,09SEP15:00:00:00,11OCT15:00:00:00,0,0,0,,,0,1,E-7,0,20340,20372,32,20309,20278,31,20340,31
0033800002TMQwuAAH,0,09JAN15:15:48:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,17SEP15:00:00:00,23OCT15:00:00:00,,17SEP15:00:00:00,23OCT15:00:00:00,0,0,0,,,0,1,E-5,0,20348,20384,36,20309,20278,31,20348,39
0033800002TMUsTAAX,0,09FEB15:01:05:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09SEP15:00:00:00,22OCT15:00:00:00,,09SEP15:00:00:00,22OCT15:00:00:00,0,0,0,,,0,1,E-5,0,20340,20383,43,20309,20278,31,20340,31
0033800002TMZaQAAX,0,09FEB15:13:18:00,Blue,09SEP15:00:00:00,09JUL15:00:00:00,,20SEP15:00:00:00,10DEC15:00:00:00,,20SEP15:00:00:00,11FEB15:00:00:00,0,0,0,,,0,1,E-5,0,20351,20130,-221,20340,20278,62,20351,11
0033800002TMZzAAAX,0,09FEB15:14:00:00,Blue,09JAN15:00:00:00,09JAN15:00:00:00,,09FEB15:00:00:00,30SEP15:00:00:00,,09FEB15:00:00:00,30SEP15:00:00:00,0,0,0,,09JAN15:00:00:00,0,1,E-2,1,20128,20361,233,20097,20097,0,20128,31
0033800002TMZzEAAX,0,09FEB15:14:00:00,Blue,09JAN15:00:00:00,09JAN15:00:00:00,,09JAN15:00:00:00,11OCT15:00:00:00,,09FEB15:00:00:00,13NOV15:00:00:00,0,0,0,,09JAN15:00:00:00,0,1,E-7,1,20128,20405,277,20097,20097,0,20097,0
0033800002TMZzHAAX,0,09FEB15:14:00:00,Blue,09FEB15:00:00:00,09JAN15:00:00:00,,09FEB15:00:00:00,10JUL15:00:00:00,,09FEB15:00:00:00,10JUL15:00:00:00,1,1,0,,09JAN15:00:00:00,0,1,E-6,1,20128,20279,151,20128,20097,31,20128,0
0033800002TMadvAAD,0,09FEB15:15:23:00,Blue,09SEP15:00:00:00,09JUL15:00:00:00,,09NOV15:00:00:00,11MAY15:00:00:00,,09NOV15:00:00:00,11MAY15:00:00:00,0,0,0,,,0,0,E-6,0,20401,20219,-182,20340,20278,62,20401,61
0033800002TMbypAAD,0,09FEB15:18:08:00,Blue,09SEP15:00:00:00,09JUL15:00:00:00,,09OCT15:00:00:00,23OCT15:00:00:00,,09OCT15:00:00:00,23OCT15:00:00:00,0,0,0,,,0,1,E-5,0,20370,20384,14,20340,20278,62,20370,30
0033800002TMcZWAA1,0,09FEB15:19:25:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09SEP15:00:00:00,25SEP15:00:00:00,,09AUG15:00:00:00,25SEP15:00:00:00,0,0,0,,,0,0,E-3,0,20309,20356,47,20309,20278,31,20340,31
0033800002TMeZAAA1,0,09MAR15:00:52:00,Blue,09SEP15:00:00:00,09JUL15:00:00:00,,14SEP15:00:00:00,14DEC15:00:00:00,,14SEP15:00:00:00,14DEC15:00:00:00,0,0,0,,,0,0,E-4,0,20345,20436,91,20340,20278,62,20345,5
0033800002TMgjlAAD,0,09MAR15:13:15:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,10JUL15:00:00:00,12SEP15:00:00:00,,10JUL15:00:00:00,15DEC15:00:00:00,0,0,0,,,0,0,E-6,0,20279,20437,158,20309,20278,31,20279,-30
0033800002TMipmAAD,0,09MAR15:17:49:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,24SEP15:00:00:00,12JAN15:00:00:00,,24SEP15:00:00:00,15DEC15:00:00:00,0,0,0,,,0,0,E-4,0,20355,20437,82,20309,20278,31,20355,46
0033800002TMnC2AAL,0,09APR15:00:58:00,Blue,16SEP15:00:00:00,09JUL15:00:00:00,,23SEP15:00:00:00,20NOV15:00:00:00,18SEP15:00:00:00,23SEP15:00:00:00,20NOV15:00:00:00,0,0,0,,,0,1,,0,20354,20412,58,20347,20278,69,20354,7
0033800002TMpUGAA1,0,09APR15:14:24:00,Blue,09SEP15:00:00:00,09JUL15:00:00:00,,09NOV15:00:00:00,19OCT15:00:00:00,,09NOV15:00:00:00,20NOV15:00:00:00,0,0,0,,,0,1,E-8,0,20401,20412,11,20340,20278,62,20401,61
0033800002TMpo6AAD,0,09APR15:15:10:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09SEP15:00:00:00,30NOV15:00:00:00,,09SEP15:00:00:00,30NOV15:00:00:00,0,0,0,,,0,1,E-9,0,20340,20422,82,20309,20278,31,20340,31
0033800002TMrycAAD,0,09APR15:19:21:00,Blue,09SEP15:00:00:00,09JUL15:00:00:00,,09SEP15:00:00:00,16SEP15:00:00:00,,09SEP15:00:00:00,16SEP15:00:00:00,0,0,0,,,0,1,E-4,0,20340,20347,7,20340,20278,62,20340,0
0033800002TMs5nAAD,0,09APR15:19:33:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09OCT15:00:00:00,17SEP15:00:00:00,,09OCT15:00:00:00,17SEP15:00:00:00,0,0,0,,,0,1,E-4,0,20370,20348,-22,20309,20278,31,20370,61
0033800002TMtGaAAL,0,09MAY15:02:37:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09NOV15:00:00:00,12OCT15:00:00:00,,09NOV15:00:00:00,12OCT15:00:00:00,0,0,0,,,0,1,E-7,0,20401,20373,-28,20309,20278,31,20401,92
0033800002TMu6GAAT,0,09MAY15:18:06:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,14SEP15:00:00:00,19NOV15:00:00:00,,14SEP15:00:00:00,19NOV15:00:00:00,0,0,0,,,0,1,E-4,0,20345,20411,66,20309,20278,31,20345,36
0033800002TMuv9AAD,0,09JUN15:19:23:00,Blue,09NOV15:00:00:00,09JUL15:00:00:00,,15SEP15:00:00:00,01APR16:00:00:00,,15SEP15:00:00:00,01APR16:00:00:00,0,0,0,,,0,0,E-2,0,20346,20545,199,20401,20278,123,20346,-55
0033800002TMxluAAD,0,09JUL15:23:16:00,Blue,14SEP15:00:00:00,14SEP15:00:00:00,,17SEP15:00:00:00,16OCT15:00:00:00,,17SEP15:00:00:00,16OCT15:00:00:00,0,0,0,,,0,0,E-4,0,20348,20377,29,20345,20345,0,20348,3
0033800002TMxrVAAT,0,09AUG15:00:23:00,Blue,14SEP15:00:00:00,14SEP15:00:00:00,,16SEP15:00:00:00,16OCT15:00:00:00,,16SEP15:00:00:00,16OCT15:00:00:00,0,0,0,,,0,1,O-6,0,20347,20377,30,20345,20345,0,20347,2
0033800002TN0JnAAL,0,09AUG15:13:47:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,19OCT15:00:00:00,11SEP15:00:00:00,21SEP15:00:00:00,19OCT15:00:00:00,24NOV15:00:00:00,0,0,0,,,0,0,O-3,0,20380,20416,36,20309,20278,31,20380,71
0033800002TN0JoAAL,0,09AUG15:13:47:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09AUG15:00:00:00,09OCT15:00:00:00,,09AUG15:00:00:00,09OCT15:00:00:00,0,0,0,,,0,1,E-7,0,20309,20370,61,20309,20278,31,20309,0
0033800002TN0JpAAL,0,09AUG15:13:47:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09OCT15:00:00:00,10JUL15:00:00:00,,09OCT15:00:00:00,10JUL15:00:00:00,0,0,0,,,0,1,E-4,0,20370,20279,-91,20309,20278,31,20370,61
0033800002TN0JtAAL,0,09AUG15:13:47:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09SEP15:00:00:00,11SEP15:00:00:00,,09SEP15:00:00:00,11SEP15:00:00:00,0,0,0,,,0,1,E-6,0,20340,20342,2,20309,20278,31,20340,31
0033800002TN0JuAAL,0,09AUG15:13:47:00,Blue,09AUG15:00:00:00,09JUL15:00:00:00,,09AUG15:00:00:00,27OCT15:00:00:00,,09AUG15:00:00:00,27OCT15:00:00:00,0,0,0,,,0,1,E-3,0,20309,20388,79,20309,20278,31,20309,0
0033800002TN0JvAAL,0,09AUG15:13:47:00,Blue,09SEP15:00:00:00,09JUL15:00:00:00,,17SEP15:00:00:00,15DEC15:00:00:00,,17SEP15:00:00:00,15DEC15:00:00:00,0,0,0,,,0,1,O-5,0,20348,20437,89,20340,20278,62,20348,8
0033800002TN0JxAAL,0,09AUG15:13:47:00,Blue,09JUL15:00:00:00,09JUL15:00:00:00,,14SEP15:00:00:00,21DEC15:00:00:00,09OCT15:00:00:00,14SEP15:00:00:00,21DEC15:00:00:00,0,0,0,,,0,1,O-1,0,20345,20443,98,20278,20278,0,20345,67
