"Id","Name","ModuleNamespace","Description","BusinessProcessId","SobjectType","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp","IsDeleted"
"012500000000r6IAAQ","Individual","","represents a single contact record","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2015-12-07 19:30:14","2015-12-07 19:30:14","0"
"012500000000r6JAAQ","Business","","Use this record type for corporations or small businesses","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2015-12-07 19:50:15","2015-12-07 19:50:15","0"
"012500000000r6KAAQ","Foundation","","Use this record type for foundation entities","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2015-12-07 19:30:14","2015-12-07 19:30:14","0"
"012500000000r6LAAQ","Nonprofit","","Use this record type for nonprofit entities","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2015-12-07 19:30:14","2015-12-07 19:30:14","0"
"012500000000r6MAAQ","Government","","Use this record type for government agencies (federal, local or state)","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2015-12-07 19:30:14","2015-12-07 19:30:14","0"
"012500000000rASAAY","Business Contact","","These ae company contacts","","Contact","1","00550000000xADhAAM","2007-03-28 18:33:49","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"012500000000rdPAAQ","Legacy Candidate","","These are Veterans seeking employment","","Contact","1","00550000000yo44AAA","2007-04-06 16:22:22","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"012500000000tO2AAI","Candidate","","","","Account","0","00550000000xADhAAM","2007-05-29 22:44:43","00538000004gsNsAAI","2015-12-07 19:30:14","2015-12-07 19:30:14","0"
"012500000000tj5AAA","Job","","potential interest in jobs","019500000004bW6AAI","Opportunity","1","00550000000xADhAAM","2007-06-08 04:25:48","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"01250000000167jAAA","Mentor","","These are individuals who want to participate in the Hire Heroes USA Mentor Program","","Contact","1","00550000000z4FcAAI","2008-05-16 18:24:27","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"0125000000016tCAAQ","Volunteer","","Volunteers in the Hire Heroes USA program","","Contact","1","00550000000z4FcAAI","2008-06-04 13:48:42","00550000001WkUeAAK","2016-01-05 12:30:24","2016-01-05 12:30:24","0"
"0125000000016tgAAA","MedAssets Employees","","These are MedAssets Employees listed in Salesforce","","Contact","1","00550000000z4FcAAI","2008-06-04 18:58:59","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"0125000000016vJAAQ","Veteran Rep & Employment Coordinator","","Veteran Representative & Employment Coordinators listed in Salesforce","","Contact","0","00550000000z4FcAAI","2008-06-05 16:51:27","00550000001WkUeAAK","2015-12-15 21:08:12","2015-12-15 21:08:12","0"
"0125000000017SNAAY","Donor","","These are financial contributors","","Contact","1","00550000000z4FcAAI","2008-06-24 16:09:32","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"0125000000017wSAAQ","Spouse or Parent","","Spouses of veterans","","Contact","0","00550000000z4FcAAI","2008-07-16 19:00:20","00550000001WkUeAAK","2015-12-15 21:08:12","2015-12-15 21:08:12","0"
"0125000000018bHAAQ","Newsletter Sign Up","","These individuals checked to sign up for our newsletter on the website","019500000004bW5AAI","Lead","1","00550000000z4FcAAI","2008-08-13 18:19:15","00550000000ztRtAAI","2009-03-11 18:34:34","2009-03-11 18:34:34","0"
"012500000001DfvAAE","2010 Legends Camp Attendee","","","","Contact","0","00550000000ztRtAAI","2009-06-26 18:45:27","00550000001WkUeAAK","2015-12-15 21:08:12","2015-12-15 21:08:12","0"
"01250000000HZ2JAAW","Internal Ideas: Idea Record Type","","Record Type used to associate ideas with a specific community","","Idea","1","00550000000xADhAAM","2008-05-18 04:41:47","00550000000xADhAAM","2008-05-18 04:41:47","2008-05-18 04:41:47","0"
"01250000000LrTHAA0","Candidate","","An Account used to store Candidates","","Account","1","00550000000z4FcAAI","2010-11-17 19:07:36","00538000004gsNsAAI","2015-12-07 19:30:14","2015-12-07 19:30:14","0"
"01250000000LrTIAA0","Corporate","","Application to a Direct Hire requirement","","01I50000000HhLg","1","00550000000z4FcAAI","2010-11-17 19:07:48","00550000000ztRtAAI","2010-12-20 05:07:34","2010-12-20 05:07:34","0"
"01250000000LrTJAA0","Perm","","Application to a permanent requirement","","01I50000000HhLg","1","00550000000z4FcAAI","2010-11-17 19:07:48","00550000000ztRtAAI","2010-12-20 05:07:34","2010-12-20 05:07:34","0"
"01250000000LrTKAA0","Temp","","Application to a temporary requirement","","01I50000000HhLg","1","00550000000z4FcAAI","2010-11-17 19:07:48","00550000000ztRtAAI","2010-12-20 05:07:34","2010-12-20 05:07:34","0"
"01250000000LrTLAA0","Temp-to-Perm","","Application to a contract to hire requirement","","01I50000000HhLg","1","00550000000z4FcAAI","2010-11-17 19:07:48","00550000000ztRtAAI","2010-12-20 05:07:34","2010-12-20 05:07:34","0"
"01250000000LrTMAA0","Candidate","","","","Contact","1","00550000000z4FcAAI","2010-11-17 19:07:49","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"01250000000LrTNAA0","Client Contract","","","","01I50000000HhLj","1","00550000000z4FcAAI","2010-11-17 19:08:02","00550000000z4FcAAI","2010-11-17 19:08:02","2010-11-17 19:13:48","0"
"01250000000LrTOAA0","Medical Contract","","","","01I50000000HhLj","0","00550000000z4FcAAI","2010-11-17 19:08:02","00550000000z4FcAAI","2010-11-17 19:08:03","2010-11-17 19:13:48","0"
"01250000000LrTPAA0","Purchase Order","","","","01I50000000HhLj","1","00550000000z4FcAAI","2010-11-17 19:08:03","00550000000z4FcAAI","2010-11-17 19:08:03","2010-11-17 19:13:48","0"
"01250000000LrTQAA0","RFP","","","","01I50000000HhLj","1","00550000000z4FcAAI","2010-11-17 19:08:03","00550000000z4FcAAI","2010-11-17 19:08:03","2010-11-17 19:13:48","0"
"01250000000LrTRAA0","Corporate","","","","01I50000000HhLn","1","00550000000z4FcAAI","2010-11-17 19:08:03","00550000000z4FcAAI","2010-11-17 19:08:03","2010-11-17 19:13:48","0"
"01250000000LrTSAA0","Perm","","Interview for a Perm Job Order","","01I50000000HhLn","1","00550000000z4FcAAI","2010-11-17 19:08:03","00550000000z4FcAAI","2010-11-17 19:08:03","2010-11-17 19:13:48","0"
"01250000000LrTTAA0","Temp","","Interview for a Temp Job Order","","01I50000000HhLn","1","00550000000z4FcAAI","2010-11-17 19:08:03","00550000000z4FcAAI","2010-11-17 19:08:03","2010-11-17 19:13:48","0"
"01250000000LrTUAA0","Temp-to-Perm","","Interview for a Temp-to-Perm Job Order","","01I50000000HhLn","1","00550000000z4FcAAI","2010-11-17 19:08:04","00550000000z4FcAAI","2010-11-17 19:08:04","2010-11-17 19:13:48","0"
"01250000000LrTVAA0","Corporate","","Used for Direct Hire","","01I50000000HhLr","0","00550000000z4FcAAI","2010-11-17 19:08:04","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:43:17","0"
"01250000000LrTWAA0","Perm","","Job for a permanent requirement","","01I50000000HhLr","1","00550000000z4FcAAI","2010-11-17 19:08:07","00550000000ztRtAAI","2011-06-21 19:54:57","2011-06-21 19:54:57","0"
"01250000000LrTXAA0","Temp","","Job for a temporary requirement","","01I50000000HhLr","1","00550000000z4FcAAI","2010-11-17 19:08:07","00550000000ztRtAAI","2011-06-21 19:54:57","2011-06-21 19:54:57","0"
"01250000000LrTYAA0","Temp-to-Perm","","Job for a contract to hire requirement","","01I50000000HhLr","0","00550000000z4FcAAI","2010-11-17 19:08:08","00550000000ztRtAAI","2013-01-12 13:43:18","2013-01-12 13:43:18","0"
"01250000000LrTZAA0","Corporate","","","","01I50000000HhLs","1","00550000000z4FcAAI","2010-11-17 19:08:08","00550000000z4FcAAI","2010-11-17 19:08:08","2010-11-17 19:13:48","0"
"01250000000LrTaAAK","Perm","","Offer for a Perm Job Order","","01I50000000HhLs","1","00550000000z4FcAAI","2010-11-17 19:08:08","00550000000z4FcAAI","2010-11-17 19:08:08","2010-11-17 19:13:48","0"
"01250000000LrTbAAK","Temp","","Offer for a Temp Job Order","","01I50000000HhLs","1","00550000000z4FcAAI","2010-11-17 19:08:08","00550000000z4FcAAI","2010-11-17 19:08:08","2010-11-17 19:13:48","0"
"01250000000LrTcAAK","Temp-to-Perm","","Offer for a Temp-to-Perm Job Order","","01I50000000HhLs","1","00550000000z4FcAAI","2010-11-17 19:08:08","00550000000z4FcAAI","2010-11-17 19:08:08","2010-11-17 19:13:48","0"
"01250000000LrTdAAK","Corporate","","","","01I50000000HhLt","1","00550000000z4FcAAI","2010-11-17 19:08:08","00550000000z4FcAAI","2010-11-17 19:08:08","2010-11-17 19:13:48","0"
"01250000000LrTeAAK","Perm","","Placement on a permanent position","","01I50000000HhLt","1","00550000000z4FcAAI","2010-11-17 19:08:09","00550000000z4FcAAI","2010-11-17 19:08:09","2010-11-17 19:13:48","0"
"01250000000LrTfAAK","Temp","","Placement on a temporary assignment","","01I50000000HhLt","1","00550000000z4FcAAI","2010-11-17 19:08:09","00550000000z4FcAAI","2010-11-17 19:08:09","2010-11-17 19:13:48","0"
"01250000000LrTgAAK","Temp-to-Perm","","Placement on a contract-to-hire requirement","","01I50000000HhLt","1","00550000000z4FcAAI","2010-11-17 19:08:09","00550000000z4FcAAI","2010-11-17 19:08:09","2010-11-17 19:13:48","0"
"01250000000LrThAAK","Corporate","","","","01I50000000HhM5","1","00550000000z4FcAAI","2010-11-17 19:08:09","00550000000z4FcAAI","2010-11-17 19:08:09","2010-11-17 19:13:48","0"
"01250000000LrTiAAK","Perm","","Submittal of a Permanent Candidate","","01I50000000HhM5","1","00550000000z4FcAAI","2010-11-17 19:08:09","00550000000z4FcAAI","2010-11-17 19:08:09","2010-11-17 19:13:48","0"
"01250000000LrTjAAK","Temp","","Submittal of a Temporary Candidate","","01I50000000HhM5","1","00550000000z4FcAAI","2010-11-17 19:08:09","00550000000z4FcAAI","2010-11-17 19:08:09","2010-11-17 19:13:48","0"
"01250000000LrTkAAK","Temp-to-Perm","","Submittal of a Temp-to-Perm Candidate","","01I50000000HhM5","1","00550000000z4FcAAI","2010-11-17 19:08:09","00550000000z4FcAAI","2010-11-17 19:08:09","2010-11-17 19:13:48","0"
"01250000000Ls4SAAS","Meta Job Order","","","","01I50000000HhLr","1","00550000000ztRtAAI","2011-01-17 17:08:22","00550000000ztRtAAI","2011-06-21 19:54:56","2011-06-21 19:54:56","0"
"01250000000Ls4wAAC","Meta Job Order","","","","01I50000000HhLg","1","00550000000ztRtAAI","2011-01-20 20:42:14","00550000000ztRtAAI","2011-01-20 20:42:14","2011-01-20 20:42:14","0"
"01250000000Lt86AAC","USO-Sponsored Workshop Participant","","These registrants have attended a USO-Sponsored Workshop","","Contact","0","00550000000ztRtAAI","2011-08-05 18:46:23","00550000001WkUeAAK","2015-12-15 21:08:12","2015-12-15 21:08:12","0"
"01250000000LtPvAAK","City of Refuge","","Veterans help through project with City of Refuge - Atlanta","","Account","0","00550000001Wb4NAAS","2011-10-17 19:08:09","00538000004gsNsAAI","2015-12-07 19:30:14","2015-12-07 19:30:14","0"
"01250000000LtQ0AAK","City of Refuge","","Veterans helped through project with City of Refuge - Atlanta","","Contact","1","00550000001Wb4NAAS","2011-10-17 19:11:39","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"01250000000LuQSAA0","Newsletter Sign-up","","These leads are people who sign up for our newsletter. They must be converted to accounts!","","Contact","1","00550000000ztRtAAI","2012-03-22 15:37:14","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"01250000000LunnAAC","Default","","The default campaign record type to use for new campaigns","","Campaign","1","00550000000ztRtAAI","2012-05-16 16:33:24","00538000004gsNsAAI","2015-11-12 18:45:12","2015-11-12 18:45:12","0"
"01250000000LunsAAC","Volunteer Campaign","","A campaign specifically used to track Volunteers","","Campaign","1","00550000000z4FcAAI","2012-05-16 16:38:58","00538000004gsNsAAI","2015-11-12 18:45:12","2015-11-12 18:45:12","0"
"01250000000LuwGAAS","VOWS NYC Event","","Candidates fromthe Vows event in NYC in June 2012","","Contact","0","00550000000ztRtAAI","2012-06-27 15:02:36","00550000001WkUeAAK","2015-12-15 21:08:11","2015-12-15 21:08:11","0"
"01250000000LvcvAAC","Danish","","Danish","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:15","00550000000ztRtAAI","2013-01-12 13:43:15","2013-01-12 13:47:45","0"
"01250000000LvcwAAC","German","","German","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000LvcxAAC","English","","English","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000LvcyAAC","Spanish","","Spanish","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000LvczAAC","Finnish","","Finnish","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd0AAC","French","","French","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd1AAC","Italian","","Italian","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd2AAC","Japanese","","Japanese","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd3AAC","Korean","","Korean","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd4AAC","Dutch","","Dutch","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd5AAC","Portugeuses Brazilian","","Portugeuses Brazilian","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd6AAC","Russian","","Russian","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd7AAC","Swedish","","Swedish","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd8AAC","Thai","","Thai","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000Lvd9AAC","Chinese Simplified","","Chinese Simplified","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000LvdAAAS","Chinese Traditional","","Chinese Traditional","","01I50000000IFQn","1","00550000000ztRtAAI","2013-01-12 13:43:17","00550000000ztRtAAI","2013-01-12 13:43:17","2013-01-12 13:47:45","0"
"01250000000LvdFAAS","Corporate","","","","01I50000000IFQy","1","00550000000ztRtAAI","2013-01-12 13:58:46","00550000000ztRtAAI","2013-01-12 13:58:46","2013-01-12 14:00:02","0"
"01250000000LvdGAAS","Custom Record Type","","","","01I50000000IFQy","0","00550000000ztRtAAI","2013-01-12 13:58:46","00550000000ztRtAAI","2013-01-12 13:58:48","2013-01-12 14:00:02","0"
"01250000000LvdHAAS","Perm","","","","01I50000000IFQy","1","00550000000ztRtAAI","2013-01-12 13:58:48","00550000000ztRtAAI","2013-01-12 13:58:48","2013-01-12 14:00:02","0"
"01250000000LvdIAAS","Temp","","","","01I50000000IFQy","1","00550000000ztRtAAI","2013-01-12 13:58:48","00550000000ztRtAAI","2013-01-12 13:58:48","2013-01-12 14:00:02","0"
"01250000000LvdJAAS","Temp-to-Perm","","","","01I50000000IFQy","1","00550000000ztRtAAI","2013-01-12 13:58:48","00550000000ztRtAAI","2013-01-12 13:58:48","2013-01-12 14:00:02","0"
"01250000000LvdKAAS","Corporate","","","","01I50000000IFQz","1","00550000000ztRtAAI","2013-01-12 13:58:48","00550000000ztRtAAI","2013-01-12 13:58:48","2013-01-12 14:00:02","0"
"01250000000LvdLAAS","Custom Record Type","","","","01I50000000IFQz","0","00550000000ztRtAAI","2013-01-12 13:58:48","00550000000ztRtAAI","2013-01-12 13:58:49","2013-01-12 14:00:02","0"
"01250000000LvdMAAS","Perm","","","","01I50000000IFQz","1","00550000000ztRtAAI","2013-01-12 13:58:49","00550000000ztRtAAI","2013-01-12 13:58:49","2013-01-12 14:00:02","0"
"01250000000LvdNAAS","Temp","","","","01I50000000IFQz","1","00550000000ztRtAAI","2013-01-12 13:58:49","00550000000ztRtAAI","2013-01-12 13:58:49","2013-01-12 14:00:02","0"
"01250000000LvdOAAS","Temp-to-Perm","","","","01I50000000IFQz","1","00550000000ztRtAAI","2013-01-12 13:58:49","00550000000ztRtAAI","2013-01-12 13:58:49","2013-01-12 14:00:02","0"
"01250000000LvdPAAS","Corporate","","","","01I50000000IFR0","1","00550000000ztRtAAI","2013-01-12 13:58:49","00550000000ztRtAAI","2013-01-12 13:58:49","2013-01-12 14:00:02","0"
"01250000000LvdQAAS","Custom Record Type","","","","01I50000000IFR0","0","00550000000ztRtAAI","2013-01-12 13:58:49","00550000000ztRtAAI","2013-01-12 13:58:49","2013-01-12 14:00:02","0"
"01250000000LvdRAAS","Perm","","","","01I50000000IFR0","1","00550000000ztRtAAI","2013-01-12 13:58:49","00550000000ztRtAAI","2013-01-12 13:58:49","2013-01-12 14:00:02","0"
"01250000000LvdSAAS","Temp","","","","01I50000000IFR0","1","00550000000ztRtAAI","2013-01-12 13:58:49","00550000000ztRtAAI","2013-01-12 13:58:49","2013-01-12 14:00:02","0"
"01250000000LvdTAAS","Temp-to-Perm","","","","01I50000000IFR0","1","00550000000ztRtAAI","2013-01-12 13:58:50","00550000000ztRtAAI","2013-01-12 13:58:50","2013-01-12 14:00:02","0"
"01250000000LvdUAAS","Corporate","","","","01I50000000IFR1","1","00550000000ztRtAAI","2013-01-12 13:58:50","00550000000ztRtAAI","2013-01-12 13:58:50","2013-01-12 14:00:02","0"
"01250000000LvdVAAS","Custom Record Type 4","","","","01I50000000IFR1","0","00550000000ztRtAAI","2013-01-12 13:58:50","00550000000ztRtAAI","2013-01-12 13:58:50","2013-01-12 14:00:02","0"
"01250000000LvdWAAS","Perm","","","","01I50000000IFR1","1","00550000000ztRtAAI","2013-01-12 13:58:50","00550000000ztRtAAI","2013-01-12 13:58:50","2013-01-12 14:00:02","0"
"01250000000LvdXAAS","Temp","","","","01I50000000IFR1","1","00550000000ztRtAAI","2013-01-12 13:58:50","00550000000ztRtAAI","2013-01-12 13:58:50","2013-01-12 14:00:02","0"
"01250000000LvdYAAS","Temp-to-Perm","","","","01I50000000IFR1","1","00550000000ztRtAAI","2013-01-12 13:58:50","00550000000ztRtAAI","2013-01-12 13:58:50","2013-01-12 14:00:02","0"
"01250000000LvdZAAS","Corporate","","","","01I50000000IFR2","1","00550000000ztRtAAI","2013-01-12 13:58:50","00550000000ztRtAAI","2013-01-12 13:58:50","2013-01-12 14:00:02","0"
"01250000000LvdaAAC","Custom Record Type 5","","","","01I50000000IFR2","0","00550000000ztRtAAI","2013-01-12 13:58:51","00550000000ztRtAAI","2013-01-12 13:58:51","2013-01-12 14:00:02","0"
"01250000000LvdbAAC","Perm","","","","01I50000000IFR2","1","00550000000ztRtAAI","2013-01-12 13:58:51","00550000000ztRtAAI","2013-01-12 13:58:51","2013-01-12 14:00:02","0"
"01250000000LvdcAAC","Temp","","","","01I50000000IFR2","1","00550000000ztRtAAI","2013-01-12 13:58:51","00550000000ztRtAAI","2013-01-12 13:58:51","2013-01-12 14:00:02","0"
"01250000000LvddAAC","Temp-to-Perm","","","","01I50000000IFR2","1","00550000000ztRtAAI","2013-01-12 13:58:51","00550000000ztRtAAI","2013-01-12 13:58:51","2013-01-12 14:00:02","0"
"01250000000Lvh2AAC","Elite Supporters","","Comittment to our mission and donations of $500K or more per year.","019500000004bW6AAI","Opportunity","1","00550000000ztRtAAI","2013-02-12 16:33:37","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"01250000000Lvh7AAC","Premium Supporters","","Contributes a minimum of $250K in cash or budget relieving in-kind per year","019500000004bW6AAI","Opportunity","1","00550000000ztRtAAI","2013-02-12 16:34:31","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"01250000000LvhCAAS","Major Supporters","","Donations of a minimum of $100K in cash or budget relieving in-kind per year","019500000004bW6AAI","Opportunity","1","00550000000ztRtAAI","2013-02-12 16:35:13","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"01250000000LvhHAAS","Official Supporters","","Minimum donation of $50K in cash or budget relieving in-kind per year","019500000004bW6AAI","Opportunity","1","00550000000ztRtAAI","2013-02-12 16:35:57","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"01250000000LvhMAAS","Proud Supporters","","Minimum donation of $10K in cash or budget relieving in-kind per year","019500000004bW6AAI","Opportunity","1","00550000000ztRtAAI","2013-02-12 16:36:37","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"01250000000Lvi5AAC","AVR","","Attempted Veteran Registrant","","Contact","1","00550000000ztRtAAI","2013-02-28 15:00:13","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"01250000000Lw6gAAC","Non-USO Workshop Participant","","","","Contact","0","00550000000ztRtAAI","2014-02-17 19:41:12","00550000001WkUeAAK","2015-12-15 21:08:11","2015-12-15 21:08:11","0"
"01250000000LwNXAA0","Career Opportunity Day Participant","","Career Opportunity Day Participant Only - We no longer account for these types of veterans","","Contact","0","00550000002Ccz4AAC","2014-09-18 18:10:24","00550000001WkUeAAK","2015-12-15 21:08:11","2015-12-15 21:08:11","0"
"01250000000LwYpAAK","Workshop Participant","","These registrants have attended a HHUSA or partnered-sponsored Workshop","","Contact","1","00550000002Ccz4AAC","2015-02-20 16:46:05","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"01250000000LwZiAAK","Test","","Test1","","Task","1","00550000002Ccz4AAC","2015-02-24 19:51:00","00538000004gsNsAAI","2015-12-15 19:57:40","2015-12-15 19:57:40","0"
"01250000000LwxVAAS","IT Requests","","","01950000000LJ3nAAG","Case","1","00550000002Ccz4AAC","2015-07-02 13:38:32","00550000001WkUeAAK","2015-08-03 15:42:20","2015-08-03 15:42:20","0"
"01250000000LwxaAAC","Volunteer Requests","","","01950000000LJ3sAAG","Case","1","00550000000ztRtAAI","2015-07-08 15:46:41","00550000001WkUeAAK","2015-11-17 16:22:02","2015-11-17 16:22:02","0"
