"Id","Name","ParentRoleId","RollupDescription","OpportunityAccessForAccountOwner","CaseAccessForAccountOwner","ContactAccessForAccountOwner","ForecastUserId","MayForecastManagerShare","LastModifiedDate","LastModifiedById","SystemModstamp","PortalAccountId","PortalType","PortalRole","PortalAccountOwnerId"
"00E500000017tbtEAA","Candidates Customer Executive","00E50000000o80kEAA","Candidates Customer Executive","None","Edit","Edit","","0","2011-01-26 21:09:04","00550000000ztRtAAI","2015-05-01 13:29:39","0015000000KUwKAAA1","CustomerPortal","Executive",""
"00E500000017tbuEAA","Candidates Customer Manager","00E500000017tbtEAA","Candidates Customer Manager","None","Edit","Edit","","0","2011-01-26 17:53:24","00550000001W6bQAAS","2015-05-01 13:29:39","0015000000KUwKAAA1","CustomerPortal","Manager",""
"00E500000017tbvEAA","Candidates Customer User","00E500000017tbuEAA","Candidates Customer User","None","Edit","Edit","","0","2011-01-26 17:53:24","00550000001W6bQAAS","2015-05-01 13:29:39","0015000000KUwKAAA1","CustomerPortal","Worker",""
"00E5000000182ldEAA","Jobscience, Inc. Customer Executive","00E50000000o80qEAA","Jobscience, Inc. Customer Executive","None","Edit","Edit","","0","2011-04-22 13:23:36","00550000000ztRtAAI","2015-05-01 13:29:39","0015000000KnKvnAAF","CustomerPortal","Executive",""
"00E5000000182leEAA","Jobscience, Inc. Customer Manager","00E5000000182ldEAA","Jobscience, Inc. Customer Manager","None","Edit","Edit","","0","2011-04-22 13:23:37","00550000000ztRtAAI","2015-05-01 13:29:39","0015000000KnKvnAAF","CustomerPortal","Manager",""
"00E5000000182lfEAA","Jobscience, Inc. Customer User","00E5000000182leEAA","Jobscience, Inc. Customer User","None","Edit","Edit","","0","2011-04-22 13:23:37","00550000000ztRtAAI","2015-05-01 13:29:39","0015000000KnKvnAAF","CustomerPortal","Worker",""
"00E50000001Nuu0EAC","Chief Programs Officer","000000000000000AAA","Programs","Edit","Edit","Edit","","0","2015-09-10 14:47:04","00550000002Ccz4AAC","2015-09-10 14:47:04","","None","",""
"00E50000001NuuAEAS","VP West Regional Manager","00E50000001Nuu0EAC","VP West","Edit","Edit","Edit","","0","2015-04-03 14:44:56","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuuFEAS","VP East Regional Manager","00E50000001Nuu0EAC","VP East","Edit","Edit","Edit","","0","2015-04-03 14:44:43","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuuKEAS","Alpharetta Red Office Manager","00E50000001NuuFEAS","Alpharetta Red","Edit","Edit","Edit","","0","2015-12-02 00:09:39","00538000004gsNsAAI","2015-12-02 00:09:39","","None","",""
"00E50000001NuuPEAS","Dallas Office Manager","00E50000001NuuFEAS","Dallas","Edit","Edit","Edit","","0","2015-12-16 17:22:25","00538000004gsNsAAI","2015-12-16 17:22:25","","None","",""
"00E50000001NuuUEAS","Raleigh Office Manager","00E50000001NuuFEAS","Raleigh","Edit","Edit","Edit","","0","2015-01-23 15:20:27","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuuZEAS","San Diego Office Manager","00E50000001NuuAEAS","San Diego","Edit","Edit","Edit","","0","2015-01-23 15:26:14","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuueEAC","Seattle Office Manager","00E50000001NuuAEAS","Seattle","Edit","Edit","Edit","","0","2015-01-23 15:26:41","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuujEAC","Los Angeles Office Manager","00E50000001NuuAEAS","Los Angeles","Edit","Edit","Edit","","0","2015-01-23 15:25:52","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuuoEAC","Colorado Springs Office Manager","00E50000001NuuAEAS","Colorado Springs","Edit","Edit","Edit","","0","2015-01-23 15:25:35","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuvSEAS","Alpharetta Red VTS","00E50000001NuuKEAS","Alpharetta Red","Edit","Edit","Edit","","0","2015-12-02 00:14:30","00538000004gsNsAAI","2015-12-02 00:14:30","","None","",""
"00E50000001NuvXEAS","Dallas VTS","00E50000001NuuPEAS","Dallas","Edit","Edit","Edit","","0","2015-12-16 17:22:53","00538000004gsNsAAI","2015-12-16 17:22:53","","None","",""
"00E50000001NuvcEAC","Raleigh VTS","00E50000001NuuUEAS","Raleigh","Edit","Edit","Edit","","0","2015-01-23 15:21:15","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuvhEAC","Colorado Springs VTS","00E50000001NuuoEAC","Colorado Springs","Edit","Edit","Edit","","0","2015-01-23 15:25:44","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuvmEAC","Los Angeles VTS","00E50000001NuujEAC","Los Angeles","Edit","Edit","Edit","","0","2015-06-01 18:35:54","00550000002Ccz4AAC","2015-06-01 18:35:54","","None","",""
"00E50000001NuvrEAC","San Diego VTS","00E50000001NuuZEAS","San Diego","Edit","Edit","Edit","","0","2015-01-23 15:26:29","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuvwEAC","Seattle VTS","00E50000001NuueEAC","Seattle","Edit","Edit","Edit","","0","2015-01-23 15:26:55","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NxcxEAC","Manager, Volunteer Program","00E50000001Nuu0EAC","Volunteer Program","Edit","Edit","Edit","","0","2015-09-10 14:45:34","00550000002Ccz4AAC","2015-09-10 14:45:34","","None","",""
"00E50000001Nxd2EAC","Outreach Volunteers","00E50000001NxcxEAC","Outreach Volunteers","Edit","Edit","Edit","","0","2015-02-04 19:16:26","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001O2jUEAS","Volunteer Coordinator","00E50000001NxcxEAC","Volunteer Coordinator","Edit","Edit","Edit","","0","2015-06-04 01:06:10","00550000000ztRtAAI","2015-06-04 01:06:10","","None","",""
"00E50000001O9vNEAS","Manager, Plans & Operations","00E50000001Nuu0EAC","Operations","Edit","Edit","Edit","","0","2015-03-17 18:11:05","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001O9vSEAS","Coordinator","00E50000001O9vNEAS","Operations","Edit","Edit","Edit","","0","2015-03-17 18:12:09","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
